#EC;PRODUTO;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ
"1000224756";"10";"FATOR_1";"2.99";"SEM VALOR";"1000224756"
"1000224756";"10";"FATOR_2";"0.00";"SEM VALOR";"1000224756"
"1000224756";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000224756"
"1000224756";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1000224756"
"1000224756";"20";"FATOR_1";"2.99";"SEM VALOR";"1000224756"
"1000224756";"20";"FATOR_2";"0.00";"SEM VALOR";"1000224756"
"1000224756";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000224756"
"1000224756";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1000224756"
"1000224756";"40";"FATOR_1";"2.99";"SEM VALOR";"1000224756"
"1000224756";"40";"FATOR_2";"0.00";"SEM VALOR";"1000224756"
"1000224756";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000224756"
"1000224756";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1000224756"
"1000251583";"10";"FATOR_1";"1.99";"SEM VALOR";"1000251583"
"1000251583";"10";"FATOR_2";"0.00";"SEM VALOR";"1000251583"
"1000251583";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000251583"
"1000251583";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1000251583"
"1000251583";"20";"FATOR_1";"1.99";"SEM VALOR";"1000251583"
"1000251583";"20";"FATOR_2";"0.00";"SEM VALOR";"1000251583"
"1000251583";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000251583"
"1000251583";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1000251583"
"1000251583";"40";"FATOR_1";"1.99";"SEM VALOR";"1000251583"
"1000251583";"40";"FATOR_2";"0.00";"SEM VALOR";"1000251583"
"1000251583";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000251583"
"1000251583";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1000251583"
"1000465788";"10";"FATOR_1";"2.99";"SEM VALOR";"1000465788"
"1000465788";"10";"FATOR_2";"0.00";"SEM VALOR";"1000465788"
"1000465788";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000465788"
"1000465788";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1000465788"
"1000465788";"20";"FATOR_1";"2.99";"SEM VALOR";"1000465788"
"1000465788";"20";"FATOR_2";"0.00";"SEM VALOR";"1000465788"
"1000465788";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000465788"
"1000465788";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1000465788"
"1000465788";"40";"FATOR_1";"2.99";"SEM VALOR";"1000465788"
"1000465788";"40";"FATOR_2";"0.00";"SEM VALOR";"1000465788"
"1000465788";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000465788"
"1000465788";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1000465788"
"1000467721";"10";"FATOR_1";"5.16";"3.50";"1000467721"
"1000467721";"20";"FATOR_1";"5.16";"3.50";"1000467721"
"1000467721";"40";"FATOR_1";"5.16";"3.50";"1000467721"
"1000522250";"10";"FATOR_1";"2.99";"SEM VALOR";"1000522250"
"1000522250";"10";"FATOR_2";"0.00";"SEM VALOR";"1000522250"
"1000522250";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000522250"
"1000522250";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1000522250"
"1000522250";"20";"FATOR_1";"2.99";"SEM VALOR";"1000522250"
"1000522250";"20";"FATOR_2";"0.00";"SEM VALOR";"1000522250"
"1000522250";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000522250"
"1000522250";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1000522250"
"1000522250";"40";"FATOR_1";"2.99";"SEM VALOR";"1000522250"
"1000522250";"40";"FATOR_2";"0.00";"SEM VALOR";"1000522250"
"1000522250";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000522250"
"1000522250";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1000522250"
"1000558301";"10";"FATOR_1";"2.99";"SEM VALOR";"1000558301"
"1000558301";"10";"FATOR_2";"0.00";"SEM VALOR";"1000558301"
"1000558301";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000558301"
"1000558301";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1000558301"
"1000558301";"20";"FATOR_1";"2.99";"SEM VALOR";"1000558301"
"1000558301";"20";"FATOR_2";"0.00";"SEM VALOR";"1000558301"
"1000558301";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000558301"
"1000558301";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1000558301"
"1000558301";"40";"FATOR_1";"2.99";"SEM VALOR";"1000558301"
"1000558301";"40";"FATOR_2";"0.00";"SEM VALOR";"1000558301"
"1000558301";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000558301"
"1000558301";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1000558301"
"1000670900";"12";"FATOR_1";"2.99";"SEM VALOR";"1000670900"
"1000670900";"12";"FATOR_2";"0.00";"SEM VALOR";"1000670900"
"1000670900";"12";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000670900"
"1000670900";"12";"STATUS_SERVICO";"S";"SEM VALOR";"1000670900"
"1000670900";"43";"FATOR_1";"2.99";"SEM VALOR";"1000670900"
"1000670900";"43";"FATOR_2";"0.00";"SEM VALOR";"1000670900"
"1000670900";"43";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000670900"
"1000670900";"43";"STATUS_SERVICO";"S";"SEM VALOR";"1000670900"
"1000745551";"10";"FATOR_1";"2.99";"SEM VALOR";"1000745551"
"1000745551";"10";"FATOR_2";"0.00";"SEM VALOR";"1000745551"
"1000745551";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000745551"
"1000745551";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1000745551"
"1000745551";"20";"FATOR_1";"2.99";"SEM VALOR";"1000745551"
"1000745551";"20";"FATOR_2";"0.00";"SEM VALOR";"1000745551"
